UF,MG
Cidade,CONCEICAO DAS PEDRAS
Nome Posto,CONCEICAO DAS PEDRAS
Latitude,-22.16222222222222
Longitude,-45.45805555555556
Codigo,2245090
Qtd. Anos,45
Ano,Maxima
1975,162
1976,104.4
1977,65
1978,83
1979,100
1980,70
1981,97
1982,53
1983,64
1984,48
1985,119.4
1986,64.5
1987,105
1988,89
1989,131.5
1990,63
1991,86.5
1992,85
1993,80
1994,128
1995,85
1996,90
1997,64
1998,71.6
1999,81
2000,140.5
2001,39.6
2002,87.4
2003,48.8
2004,65.8
2005,78.4
2006,63.8
2007,88
2008,71.8
2009,86.7
2010,107.4
2011,103.4
2012,65.4
2013,76.4
2014,39
2015,78.7
2016,90.2
2017,54.5
2018,83.8
2019,100.3
