UF,MG
Cidade,VARZELANDIA
Nome Posto,VARZELANDIA
Latitude,-15.704166666666666
Longitude,-44.02861111111111
Codigo,1544030
Qtd. Anos,37
Ano,Maxima
1983,72
1984,31.4
1985,110.5
1986,39.5
1987,60.3
1988,99
1989,71.2
1990,60
1991,94.2
1992,65.1
1993,32.5
1994,42.1
1995,73.5
1996,53.2
1997,139.7
1998,54.2
1999,59
2000,75.4
2001,102.1
2002,113
2003,58.2
2004,76.1
2005,68.1
2006,106.7
2007,134.3
2008,89.5
2009,44.5
2010,121
2011,78.3
2012,54.6
2013,66
2014,55
2015,78.2
2016,59
2017,60.2
2018,140
2019,56
