UF,MG
Cidade,POCO FUNDO
Nome Posto,CACHOEIRA POCO FUNDO
Latitude,-21.790833333333335
Longitude,-46.12416666666667
Codigo,2146029
Qtd. Anos,53
Ano,Maxima
1967,50.2
1968,63.2
1969,54.2
1970,108.2
1971,59.4
1972,106
1973,98.2
1974,63
1975,53.4
1976,96
1977,48.2
1978,162
1979,88.2
1980,80.4
1981,90.4
1982,70
1983,94
1984,59.6
1985,53
1986,90
1987,95.1
1988,65.8
1989,91.8
1990,47.2
1991,81.4
1992,98
1993,76.5
1994,96.4
1995,101.1
1996,90.4
1997,74.7
1998,64.9
1999,118
2000,135.4
2001,69.4
2002,86
2003,92.5
2004,73
2005,100
2006,46
2007,39
2008,93
2009,56.7
2010,72.5
2011,75.3
2012,71.2
2013,72.3
2014,62.3
2015,94.7
2016,101.8
2017,67.2
2018,37.8
2019,74
