UF,MG
Cidade,RAUL SOARES
Nome Posto,VERMELHO VELHO
Latitude,-19.99888888888889
Longitude,-42.347500000000004
Codigo,1942006
Qtd. Anos,74
Ano,Maxima
1946,89.3
1947,120.3
1948,75.4
1949,34.8
1950,30.1
1951,25.3
1952,25.2
1953,31.2
1954,28.2
1955,38.2
1956,35.1
1957,35.2
1958,38.1
1959,30.2
1960,36.2
1961,38.1
1962,35.1
1963,35.2
1964,72.1
1965,30.1
1966,25.7
1967,23
1968,142.6
1969,76.4
1970,58
1971,68
1972,92.2
1973,100
1974,57.8
1975,56.6
1976,80.2
1977,80.4
1978,119.3
1979,89.4
1980,80.2
1981,105.3
1982,70.2
1983,85.4
1984,72.3
1985,75.3
1986,62.1
1987,89
1988,95
1989,100
1990,62
1991,146.2
1992,81.4
1993,80
1994,112.4
1995,70.2
1996,77.4
1997,127.2
1998,90.2
1999,69.6
2000,190.8
2001,105.2
2002,104.2
2003,150
2004,84.4
2005,72.5
2006,89
2007,87.2
2008,71
2009,102.2
2010,50.4
2011,97.8
2012,83.5
2013,117.5
2014,56.2
2015,81.3
2016,108
2017,73
2018,80.5
2019,168.6
