UF,MG
Cidade,ITAMOGI
Nome Posto,FAZENDA CARVALHAIS
Latitude,-21.133055555555558
Longitude,-47.02194444444444
Codigo,2147054
Qtd. Anos,54
Ano,Maxima
1966,83.4
1967,322.1
1968,50.1
1969,87.5
1970,78.6
1971,79.6
1972,96.8
1973,99.6
1974,60.2
1975,80.4
1976,69.6
1977,166.2
1978,128
1979,68.6
1980,97
1981,106
1982,81
1983,121.2
1984,83.6
1985,94.2
1986,113.4
1987,67.6
1988,81.8
1989,56.4
1990,62.8
1991,66.8
1992,70.4
1993,56
1994,65
1995,86.4
1996,68
1997,90.2
1998,78.8
1999,55.2
2000,115.8
2001,68.6
2002,81.3
2003,71.2
2004,68.2
2005,90.4
2006,54.2
2007,63.4
2008,69.9
2009,86.4
2010,67.6
2011,55.8
2012,111.9
2013,58.4
2014,69.8
2015,49.1
2016,63.7
2017,84.3
2018,53.8
2019,80.6
