UF,MG
Cidade,PATOS DE MINAS
Nome Posto,LEAL DE PATOS
Latitude,-18.641111111111112
Longitude,-46.33444444444444
Codigo,1846017
Qtd. Anos,62
Ano,Maxima
1958,35
1959,150
1960,80
1961,124
1962,145
1963,52
1964,98
1965,71
1966,94
1967,63
1968,63
1969,121
1970,121
1971,62
1972,50
1973,92.5
1974,78
1975,80.1
1976,75
1977,88.2
1978,95
1979,148.8
1980,75.2
1981,65
1982,85.2
1983,143.6
1984,62
1985,59.4
1986,76.6
1987,73.6
1988,64.6
1989,53.4
1990,70.1
1991,80.9
1992,80.1
1993,86.5
1994,836
1995,79
1996,54.8
1997,65.8
1998,78.2
1999,83.7
2000,55.5
2001,61.4
2002,62.7
2003,63.2
2004,90
2005,69.7
2006,87.8
2007,60.4
2008,109.4
2009,110.1
2010,101.7
2011,179.2
2012,56.6
2013,70.2
2014,60.6
2015,70.2
2016,75.6
2017,68
2018,122.5
2019,82.3
