UF,MG
Cidade,OURO PRETO
Nome Posto,FAZENDA AGUA LIMPA JUSANTE
Latitude,-20.303055555555556
Longitude,-43.615833333333335
Codigo,2043056
Qtd. Anos,36
Ano,Maxima
1984,74.4
1985,70.3
1986,74
1987,59.2
1988,92.3
1989,76.2
1990,59.3
1991,74.2
1992,75.2
1993,90.3
1994,55
1995,99
1996,53.7
1997,89.4
1998,54
1999,48.2
2000,105.5
2001,54.1
2002,66.3
2003,68.1
2004,69
2005,69.5
2006,53.7
2007,58.7
2008,60.7
2009,60.4
2010,67.7
2011,92.5
2012,110.2
2013,45.7
2014,59.3
2015,66.5
2016,50
2017,52.4
2018,72.5
2019,42.7
