UF,MG
Cidade,BOM JARDIM DE MINAS
Nome Posto,PEDREIRA (PACAU)
Latitude,-22.02611111111111
Longitude,-44.17361111111111
Codigo,2244064
Qtd. Anos,52
Ano,Maxima
1968,66.1
1969,99
1970,62.6
1971,72
1972,87.2
1973,61.2
1974,47.2
1975,65.4
1976,66.4
1977,48.2
1978,58.4
1979,58.8
1980,49.6
1981,49.6
1982,59
1983,165.6
1984,32.2
1985,42.4
1986,39.2
1987,85.6
1988,65.6
1989,95.6
1990,58.6
1991,124.6
1992,108.4
1993,58.6
1994,100.8
1995,122.6
1996,105.2
1997,69.2
1998,52.8
1999,71.2
2000,90.1
2001,89.5
2002,97.2
2003,100.1
2004,77.6
2005,85.6
2006,87.6
2007,62.1
2008,301
2009,73.2
2010,83
2011,129.4
2012,102.3
2013,82.1
2014,71.4
2015,74.1
2016,112.3
2017,63.4
2018,91.2
2019,36.1
