UF,MG
Cidade,CONSELHEIRO PENA
Nome Posto,BARRA DO CUIETE - JUSANTE
Latitude,-19.061666666666667
Longitude,-41.532777777777774
Codigo,1941005
Qtd. Anos,76
Ano,Maxima
1944,78.2
1945,29.4
1946,75
1947,80.9
1948,92.3
1949,71.3
1950,75.2
1951,91.2
1952,119.2
1953,80.4
1954,83
1955,30
1956,30
1957,8.8
1958,68
1959,48
1960,78
1961,45
1962,76
1963,50
1964,59
1965,66
1966,54
1967,52
1968,69
1969,80
1970,62
1971,51
1972,64
1973,81
1974,69.8
1975,65.2
1976,49.2
1977,100
1978,60.2
1979,149.4
1980,112.2
1981,135
1982,60
1983,81.1
1984,85
1985,83.4
1986,61.4
1987,60.3
1988,39.2
1989,60.2
1990,98.7
1991,98.7
1992,66.1
1993,87.7
1994,56.7
1995,91.2
1996,116.8
1997,90
1998,92.8
1999,107.4
2000,79.8
2001,101.2
2002,53.4
2003,58.9
2004,130.2
2005,95.3
2006,83.7
2007,61.1
2008,67.6
2009,65.2
2010,88.8
2011,47.8
2012,36.3
2013,99.6
2014,54.5
2015,41.8
2016,74.7
2017,96.9
2018,59.7
2019,62.8
