UF,MG
Cidade,MANGA
Nome Posto,MIRAVANIA
Latitude,-14.747499999999999
Longitude,-44.41111111111111
Codigo,1444003
Qtd. Anos,53
Ano,Maxima
1967,98
1968,78
1969,92.7
1970,54.5
1971,65.3
1972,56
1973,82.5
1974,67.3
1975,107.7
1976,52.2
1977,107.3
1978,71.5
1979,85
1980,60.7
1981,109.3
1982,77.1
1983,83.6
1984,57.7
1985,79
1986,42.3
1987,68.1
1988,107.1
1989,92.2
1990,110.3
1991,54.8
1992,146
1993,44.8
1994,80.8
1995,93.3
1996,54.3
1997,69.1
1998,113
1999,124.2
2000,82.4
2001,69.4
2002,68.3
2003,38
2004,84.3
2005,141.2
2006,63
2007,142.9
2008,80
2009,97.3
2010,90
2011,113.3
2012,92.7
2013,137.5
2014,76.2
2015,46.3
2016,115.7
2017,60.3
2018,105.2
2019,71.3
