UF,MG
Cidade,JANUARIA
Nome Posto,JANUARIA
Latitude,-15.483333333333333
Longitude,-44.36666666666667
Codigo,1544006
Qtd. Anos,41
Ano,Maxima
1946,54.7
1947,69.2
1948,41.8
1949,51
1950,49.5
1951,63.9
1952,64
1953,56
1954,63.8
1955,74.6
1956,57.6
1957,65.2
1958,72.8
1959,46.4
1960,67.4
1961,47.2
1962,68.4
1963,63.3
1964,63.8
1965,67.2
1966,43
1967,61
1968,63.2
1969,15.6
1975,36.8
1976,44.1
1977,65.3
1978,59.1
1979,157.1
1980,88.4
1981,91.3
1982,74.8
1990,100.2
1991,69.2
1992,68.1
1993,46.6
1994,82.5
1995,89.4
1996,107
1997,75.6
1998,71.6
