UF,MG
Cidade,GUARDA-MOR
Nome Posto,GUARDA-MOR
Latitude,-17.772499999999997
Longitude,-47.09861111111111
Codigo,1747005
Qtd. Anos,47
Ano,Maxima
1973,68
1974,87.8
1975,48.6
1976,56
1977,78.2
1978,125.4
1979,87.6
1980,83.6
1981,81.4
1982,87.6
1983,93.2
1984,67.8
1985,72.2
1986,61.4
1987,108.2
1988,95.4
1989,93.1
1990,97.2
1991,63.6
1992,116.8
1993,113.2
1994,105.3
1995,66.3
1996,100.3
1997,73.4
1998,62
1999,137.3
2000,68.5
2001,100
2002,80.4
2003,61.2
2004,96
2005,93.8
2006,89.7
2007,68.4
2008,155.5
2009,81.8
2010,88.7
2011,81.5
2012,75.6
2013,76.5
2014,80.5
2015,67.5
2016,86.2
2017,63.6
2018,85.9
2019,54.6
