UF,MG
Cidade,MONTALVANIA
Nome Posto,SAO GONCALO
Latitude,-14.313611111111111
Longitude,-44.46027777777778
Codigo,1444000
Qtd. Anos,74
Ano,Maxima
1946,40.2
1947,106.2
1948,42.1
1949,98.8
1950,66.5
1951,70.1
1952,18.4
1953,84.4
1954,70.6
1955,106.3
1956,58.6
1957,97.3
1958,77
1959,76.8
1960,79.6
1961,53.8
1962,68
1963,113.1
1964,79.3
1965,77.4
1966,84.7
1967,72.6
1968,130.4
1969,73.2
1970,67.6
1971,68.2
1972,119
1973,58.2
1974,121.2
1975,75.3
1976,87.2
1977,74.6
1978,58.1
1979,72
1980,52.4
1981,101.2
1982,46.2
1983,113.6
1984,59.2
1985,86
1986,120
1987,82.2
1988,74.4
1989,96.6
1990,79.2
1991,83.6
1992,86.8
1993,29.2
1994,69.8
1995,57.8
1996,75
1997,50.8
1998,49.6
1999,83.7
2000,107
2001,93.2
2002,104
2003,57.3
2004,75.2
2005,95
2006,82.4
2007,170.2
2008,53.6
2009,64.2
2010,86.4
2011,89.8
2012,147
2013,62
2014,86
2015,71
2016,140
2017,80
2018,89
2019,59
