UF,MG
Cidade,CANAPOLIS
Nome Posto,AVANTIGUARA
Latitude,-18.771944444444443
Longitude,-49.069722222222225
Codigo,1849006
Qtd. Anos,45
Ano,Maxima
1975,110.2
1976,70.5
1977,67
1978,82
1979,110
1980,80
1981,85.1
1982,117
1983,175
1984,81
1985,56.4
1986,84.2
1987,88.4
1988,97
1989,96.2
1990,58.3
1991,74.2
1992,71.3
1993,82.1
1994,63.2
1995,94.3
1996,73.1
1997,91.1
1998,85.3
1999,51.7
2000,75.6
2001,80.3
2002,81.5
2003,78.5
2004,63.9
2005,64.3
2006,81.9
2007,83.7
2008,83.9
2009,64.7
2010,74.5
2011,65
2012,73
2013,87
2014,60.1
2015,108.2
2016,70.1
2017,74.6
2018,73.2
2019,70.5
