UF,MG
Cidade,RIACHO DOS MACHADOS
Nome Posto,RIACHO DOS MACHADOS
Latitude,-15.983333333333333
Longitude,-43.05
Codigo,1543010
Qtd. Anos,47
Ano,Maxima
1952,64
1953,98
1954,73
1955,63
1956,60
1957,53
1960,60
1961,32
1962,37
1963,114
1964,95
1965,76
1966,59.3
1967,80.3
1968,214
1969,69.2
1970,81.6
1971,56
1972,86.4
1973,98
1974,80
1975,110
1976,72
1977,73.2
1978,110
1979,126
1980,103
1981,120
1982,93
1983,80
1984,100.3
1985,100
1986,44
1987,50
1988,60
1989,140
1990,87
1991,45
1992,70
1993,70
1994,70
1995,165
1996,69
1997,48
1998,72
1999,75
2000,80
