UF,MG
Cidade,CRUZILIA
Nome Posto,CRUZILIA
Latitude,-21.835277777777776
Longitude,-44.80083333333333
Codigo,2144037
Qtd. Anos,45
Ano,Maxima
1975,59.8
1976,49.2
1977,67.8
1978,89
1979,58.4
1980,89
1981,93
1982,73
1983,68
1984,58.3
1985,73
1986,78.6
1987,70
1988,81
1989,48
1990,79.2
1991,64.6
1992,111.4
1993,43
1994,130.2
1995,56.4
1996,82
1997,73.2
1998,80.9
1999,82
2000,85.6
2001,46.8
2002,68.2
2003,60
2004,76
2005,52.4
2006,89.4
2007,53.4
2008,55.5
2009,70.8
2010,63
2011,68.2
2012,52.3
2013,55.5
2014,46.2
2015,46.4
2016,92.5
2017,56.4
2018,42.4
2019,31.4
