UF,MG
Cidade,TAQUARACU DE MINAS
Nome Posto,TAQUARACU
Latitude,-19.663888888888888
Longitude,-43.68805555555555
Codigo,1943023
Qtd. Anos,78
Ano,Maxima
1942,63.2
1943,85
1944,67.6
1945,114.4
1946,79.2
1947,96.2
1948,112.2
1949,137.2
1950,67.8
1951,66.4
1952,61.8
1953,69.4
1954,73
1955,66
1956,94.2
1957,97.8
1958,54.8
1959,91
1960,89
1961,123
1962,78.4
1963,47.4
1964,94
1965,96
1966,86.6
1967,188
1968,85.4
1969,75.2
1970,74.4
1971,110.2
1972,80.2
1973,66.2
1974,70
1975,37
1976,64.4
1977,100
1978,139
1979,90.2
1980,77.2
1981,93.4
1982,64
1983,71.2
1984,52.2
1985,70.2
1986,99.6
1987,67.2
1988,77.2
1989,78.3
1990,62.2
1991,84.2
1992,84.9
1993,88.3
1994,93.2
1995,147.2
1996,120.5
1997,143.3
1998,71.5
1999,72.9
2000,105.3
2001,89.7
2002,88
2003,68.2
2004,64.5
2005,105.6
2006,71.4
2007,78.1
2008,59.8
2009,54.2
2010,103.2
2011,67.4
2012,53.4
2013,132.2
2014,61.6
2015,64.3
2016,97.8
2017,99.8
2018,84.2
2019,62.2
