UF,MG
Cidade,MATEUS LEME
Nome Posto,FAZENDA VISTA ALEGRE
Latitude,-20.05138888888889
Longitude,-44.45166666666667
Codigo,2044019
Qtd. Anos,50
Ano,Maxima
1970,75
1971,89.2
1972,100
1973,75.1
1974,40.2
1975,70.2
1976,75.2
1977,52
1978,60
1979,64.2
1980,51
1981,90.1
1982,86.3
1983,129
1984,74
1985,87.2
1986,95
1987,83
1988,66
1989,90.2
1990,97
1991,83
1992,100
1993,66
1994,136.2
1995,82.3
1996,92.3
1997,115
1998,81.1
1999,56.1
2000,100.7
2001,76
2002,79.8
2003,50
2004,76.5
2005,78.4
2006,69.5
2007,64
2008,79.5
2009,58.3
2010,60.9
2011,81
2012,73.7
2013,84.5
2014,45
2015,49.3
2016,96.5
2017,78
2018,78
2019,56.7
