UF,MG
Cidade,MUZAMBINHO
Nome Posto,MUZAMBINHO
Latitude,-21.380555555555556
Longitude,-46.51888888888889
Codigo,2146030
Qtd. Anos,46
Ano,Maxima
1974,29
1975,64.4
1976,66.6
1977,187.8
1978,71.6
1979,76.2
1980,74.2
1981,94
1982,74.4
1983,73
1984,60.3
1985,50
1986,62.1
1987,113.8
1988,42
1989,65.6
1990,57
1991,65
1992,78.2
1993,85
1994,80.6
1995,149
1996,66.1
1997,66.2
1998,62.1
1999,92.9
2000,93.2
2001,65
2002,67.5
2003,67.4
2004,105.4
2005,93
2006,70
2007,46.5
2008,59.3
2009,86.7
2010,48.3
2011,82.9
2012,82
2013,46.3
2014,76.6
2015,67.8
2016,84.6
2017,94.3
2018,52.3
2019,113.5
