UF,MG
Cidade,DOM CAVATI
Nome Posto,DOM CAVATI
Latitude,-19.37361111111111
Longitude,-42.105000000000004
Codigo,1942008
Qtd. Anos,50
Ano,Maxima
1969,55.4
1970,102.8
1971,87.6
1972,95.4
1973,233.8
1974,91.4
1975,66.4
1976,78
1977,69.4
1978,64.4
1979,117.4
1980,94
1981,69.4
1982,102.8
1983,61.6
1984,81.6
1985,78.2
1986,86.8
1987,91
1988,100.1
1989,3.2
1991,73.5
1992,80.4
1993,61.3
1994,104.9
1995,120
1996,83.6
1997,117.8
1998,80
1999,77.7
2000,62
2001,73
2002,82.6
2003,110.2
2004,90.3
2005,94.5
2006,90
2007,84
2008,51.5
2009,63.3
2010,104.6
2011,84
2012,65.2
2013,104.7
2014,122.1
2015,68.1
2016,81.9
2017,103.3
2018,72.5
2019,75.3
