UF,MG
Cidade,BELMIRO BRAGA
Nome Posto,SOBRAJI
Latitude,-21.96638888888889
Longitude,-43.3725
Codigo,2143021
Qtd. Anos,69
Ano,Maxima
1952,55.2
1953,25
1954,25
1955,24.8
1956,25
1957,25
1958,25
1959,25
1960,25
1961,25
1962,25
1963,25
1964,50
1965,91.8
1966,81
1967,75
1968,119.4
1969,98
1970,49
1971,41
1972,170
1973,14.8
1974,32.4
1975,35.3
1976,50.8
1977,86.1
1978,87.3
1979,90.3
1980,65.1
1981,68.1
1982,52.1
1983,100.5
1984,66
1985,80
1986,80.2
1987,60.4
1988,75.3
1989,45
1990,95.3
1991,79.1
1992,70.2
1993,52.1
1994,75.1
1995,75.1
1996,75.3
1997,86.6
1998,45.7
1999,69
2000,42
2001,69
2002,60.1
2003,73.4
2004,60.9
2005,60.4
2006,53.8
2007,60.9
2008,89.1
2009,78.5
2010,80.7
2011,60.7
2012,97.1
2013,70.2
2014,67.1
2015,59
2016,54.5
2017,104.8
2018,72.6
2019,95.5
2020,62.9
