UF,MG
Cidade,CAIANA
Nome Posto,CAIANA
Latitude,-20.69388888888889
Longitude,-41.92194444444444
Codigo,2041005
Qtd. Anos,82
Ano,Maxima
1939,42.3
1940,63.3
1941,100.8
1942,109.8
1943,73
1944,72.8
1945,61.8
1946,91.6
1947,81.6
1948,61.8
1949,86.4
1950,67.8
1951,83
1952,63.6
1953,93.6
1954,40.8
1955,36
1956,73.6
1957,66
1958,82
1959,76.6
1960,56.2
1961,65.4
1962,65.6
1963,60.6
1964,70.2
1965,88
1966,114
1967,76
1968,75
1969,54
1970,66
1971,77
1972,75.4
1973,70.4
1974,75.2
1975,82
1976,50
1977,62.4
1978,113.2
1979,83.4
1980,69.6
1981,90
1982,100
1983,80
1984,100
1985,90
1986,92
1987,75
1988,93
1989,52.8
1990,50
1991,78
1992,90.8
1993,60.6
1994,50
1995,62
1996,86
1997,70
1998,48
1999,80
2000,58.3
2001,83.5
2002,93.6
2003,125
2004,51
2005,148
2006,72.3
2007,104
2008,88.8
2009,101.3
2010,90
2011,64
2012,83.6
2013,58
2014,87.5
2015,75.4
2016,98
2017,59.6
2018,72.2
2019,99.4
2020,78.3
