UF,MG
Cidade,DOM BOSCO
Nome Posto,PORTO DOS POCOES
Latitude,-16.829722222222223
Longitude,-46.32222222222222
Codigo,1646000
Qtd. Anos,58
Ano,Maxima
1961,105.6
1963,44
1964,91.4
1965,71.4
1966,75.1
1967,65.3
1968,100
1969,99.4
1970,81.4
1971,69.2
1972,28.8
1973,39.2
1974,64.2
1975,55
1976,76.4
1977,94.6
1978,75
1979,75.4
1980,86.2
1981,75.2
1982,9.2
1983,8.2
1984,64.4
1985,72
1986,55.2
1987,93.2
1988,62.4
1989,63.8
1990,55.5
1991,166
1992,104
1993,54.3
1994,62.3
1995,75.6
1996,84.9
1997,115.4
1998,51.8
1999,79.4
2000,52
2001,68.8
2002,76.4
2003,55.2
2004,73.7
2005,86.2
2006,68.6
2007,70
2008,70.3
2009,79
2010,76.8
2011,106.7
2012,78.2
2013,94.5
2014,112.7
2015,74.5
2016,74.7
2017,106.5
2018,95
2019,97.5
