UF,MG
Cidade,VARGEM BONITA
Nome Posto,VARGEM BONITA
Latitude,-20.33
Longitude,-46.36611111111111
Codigo,2046013
Qtd. Anos,46
Ano,Maxima
1974,67.4
1975,71
1976,61.6
1977,77.4
1978,73.2
1979,74.3
1980,84.2
1981,77
1982,87
1983,129
1984,93
1985,56.2
1986,92.4
1987,70.6
1988,74.2
1989,75
1990,74.6
1991,68.2
1992,95
1993,98.2
1994,79.2
1995,79
1996,94.6
1997,136.4
1998,48.6
1999,70.1
2000,87.5
2001,139.7
2002,59.6
2003,149
2004,100.8
2005,85.8
2006,99.9
2007,92.8
2008,115.2
2009,98.1
2010,73.2
2011,172.1
2012,81.5
2013,119
2014,86.5
2015,73
2016,72.6
2017,68.2
2018,130
2019,71
