UF,MG
Cidade,ABAETE
Nome Posto,ABAETE
Latitude,-19.163055555555555
Longitude,-45.442499999999995
Codigo,1945035
Qtd. Anos,46
Ano,Maxima
1974,90
1975,70.4
1976,108
1977,72.8
1978,154
1979,111.6
1980,58.7
1981,82.2
1982,96.2
1983,88.4
1984,90
1985,104
1986,56.3
1987,86.1
1988,51.1
1989,61.2
1990,95.1
1991,88.3
1992,161.9
1993,87.3
1994,97.8
1995,80
1996,75
1997,108.9
1998,144.1
1999,107.6
2000,83.5
2001,63.9
2002,75.2
2003,67.5
2004,96.5
2005,104.2
2006,164.9
2007,43.4
2008,97.2
2009,100.8
2010,51
2011,88.3
2012,49.6
2013,60
2014,76.5
2015,30.7
2016,64.3
2017,46.8
2018,78.5
2019,49
