UF,MG
Cidade,ANTONIO CARLOS
Nome Posto,CAMPOLIDE
Latitude,-21.278888888888886
Longitude,-43.82
Codigo,2143005
Qtd. Anos,79
Ano,Maxima
1941,123
1942,101
1943,68.4
1944,54.2
1945,70.2
1946,70.3
1947,105.2
1948,66.2
1949,68.3
1950,87.4
1951,49.2
1952,51.6
1953,60.8
1954,70.5
1955,50.8
1956,80
1957,75
1958,85
1959,160
1960,240
1961,138.2
1962,160
1963,60.4
1964,80
1965,101.3
1966,110.3
1967,82.4
1968,119.1
1969,120
1970,71.3
1971,98
1972,74.2
1973,48
1974,89.3
1975,104.2
1976,54.6
1977,54.4
1978,88.2
1979,100
1980,69.4
1981,71
1982,68
1983,80
1984,75
1985,90
1986,70.2
1987,90
1988,118.4
1989,48
1990,118.8
1991,75.1
1992,101
1993,70
1994,89.1
1995,81.5
1996,78.7
1997,86
1998,61.5
1999,74
2000,101
2001,64
2002,62.2
2003,67.8
2004,103
2005,66.6
2006,79
2007,63.5
2008,84.4
2009,81.7
2010,135
2011,94.5
2012,135
2013,63.6
2014,96.7
2015,102
2016,95
2017,59
2018,37.5
2019,96.6
