UF,MG
Cidade,JAIBA
Nome Posto,COLONIA DO  JAIBA
Latitude,-15.341111111111111
Longitude,-43.67527777777777
Codigo,1543002
Qtd. Anos,58
Ano,Maxima
1962,49.8
1963,82.3
1964,105
1965,80.3
1966,59.5
1967,103.2
1968,81
1969,68
1970,70
1971,64.4
1972,74.6
1973,62.8
1974,70
1975,57.4
1976,44.8
1977,76.2
1978,68.9
1979,82
1980,90
1981,81.2
1982,36.6
1983,60.6
1984,74.4
1985,56
1986,43
1987,60.4
1988,83.7
1989,78.5
1990,58
1991,72
1992,90.9
1993,49
1994,99
1995,56.6
1996,78.3
1997,79.3
1998,82.2
1999,49.2
2000,46.4
2001,76.7
2002,246
2003,61.1
2004,84.5
2005,66.3
2006,58.8
2007,100
2008,62.5
2009,80.3
2010,87.2
2011,60.8
2012,55.3
2013,90.8
2014,31.8
2015,59.7
2016,100.4
2017,70.6
2018,119.7
2019,55
