UF,MG
Cidade,SAO FRANCISCO
Nome Posto,SAO FRANCISCO
Latitude,-15.949444444444445
Longitude,-44.86805555555556
Codigo,1544012
Qtd. Anos,82
Ano,Maxima
1938,46.2
1939,75
1940,70
1941,80
1942,72
1943,72.2
1944,48.2
1945,170
1946,45.2
1947,70
1948,110
1949,75
1950,56.2
1951,69
1952,72.4
1953,153
1954,1.9
1955,42
1956,61
1957,80.4
1958,84.7
1959,97
1960,49
1961,34.5
1962,114
1963,58.6
1964,112
1965,140
1966,69
1967,62
1968,86
1969,74.4
1970,62.2
1971,74
1972,122
1973,61
1974,93
1975,75
1976,64.7
1977,107
1978,69.7
1979,79
1980,50.2
1981,85
1982,69.2
1983,85
1984,67.8
1985,106.2
1986,52.3
1987,118.9
1988,88.2
1989,70.1
1990,43.8
1991,86.6
1992,85
1993,57.6
1994,87
1995,64
1996,71.2
1997,80.2
1998,94
1999,66
2000,79.2
2001,54
2002,82
2003,79.7
2004,84.7
2005,121
2006,86.3
2007,211.5
2008,55.4
2009,135.5
2010,62.1
2011,53.4
2012,54.5
2013,56.4
2014,88.5
2015,34.6
2016,56.6
2017,69.7
2018,107.4
2019,52.2
