UF,MG
Cidade,MARIANA
Nome Posto,FAZENDA PARAISO
Latitude,-20.39
Longitude,-43.180277777777775
Codigo,2043011
Qtd. Anos,79
Ano,Maxima
1941,62
1942,54.6
1943,73.2
1944,75.7
1945,84.6
1946,46
1947,68.6
1948,114.5
1949,73.6
1950,82
1951,125
1952,110.8
1953,94.4
1954,56.4
1955,96.6
1956,87.5
1957,95
1958,93.9
1959,98.4
1960,96.8
1961,84.2
1962,81.8
1963,22.2
1964,122.2
1965,52.8
1966,122
1967,86.6
1968,72.4
1969,105
1970,83.4
1971,55.8
1972,99.4
1973,82.8
1974,81.2
1975,66.8
1976,56.6
1977,86.2
1978,54.8
1979,83.4
1980,61.8
1981,60.4
1982,74.2
1983,94
1984,70.2
1985,105
1986,75.2
1987,84.6
1988,82.4
1989,61.6
1990,80.2
1991,84.2
1992,100.3
1993,57.8
1994,122.2
1995,82.4
1996,78.4
1997,106.4
1998,90.2
1999,85.8
2000,115.5
2001,50.7
2002,68.9
2003,66.8
2004,161.2
2005,83.8
2006,62.1
2007,62.9
2008,100.4
2009,96
2010,88.8
2011,114.5
2012,125
2013,93.8
2014,51.7
2015,76.5
2016,75
2017,62.7
2018,69.7
2019,49
