UF,MG
Cidade,COROMANDEL
Nome Posto,PANTANO
Latitude,-18.559444444444445
Longitude,-46.80027777777777
Codigo,1846006
Qtd. Anos,45
Ano,Maxima
1975,46.4
1976,61
1977,63.5
1978,99
1979,98
1980,111
1981,62
1982,96
1983,150
1984,64
1985,92
1986,122.5
1987,68.5
1988,61
1989,129
1990,76.7
1991,62.2
1992,167.7
1993,77
1994,66.7
1995,73
1996,98.8
1997,59.5
1998,62.5
1999,80
2000,84.7
2001,104
2002,79
2003,90
2004,68.8
2005,91.2
2006,87.5
2007,92
2008,86.5
2009,82.3
2010,77.8
2011,105
2012,81.3
2013,46.7
2014,119.3
2015,55.4
2016,54.5
2017,64.5
2018,103.3
2019,55.3
