UF,MG
Cidade,CAMPANHA
Nome Posto,PALMELA DOS COELHOS
Latitude,-21.78638888888889
Longitude,-45.44027777777777
Codigo,2145024
Qtd. Anos,54
Ano,Maxima
1966,38
1967,52
1968,63.8
1969,93.2
1970,120.6
1971,65.5
1972,101.2
1973,85.6
1974,74
1975,58
1976,69
1977,90.5
1978,98.6
1979,68.5
1980,58.3
1981,61.2
1982,86.5
1983,74.2
1984,63.4
1985,76.4
1986,62
1987,65.8
1988,42.6
1989,65.4
1990,52.5
1991,58.6
1992,82.8
1993,52.8
1994,61.4
1995,57.8
1996,62.5
1997,67.3
1998,72.6
1999,84.7
2000,80.8
2001,76.2
2002,65.6
2003,78.6
2004,224
2005,108
2006,115.3
2007,114.5
2008,75.4
2009,97.4
2010,38.5
2011,75.4
2012,45.1
2013,60.5
2014,26.7
2015,41.6
2016,56.5
2017,24.7
2018,18.4
2019,30.7
