UF,MG
Cidade,BRAZOPOLIS
Nome Posto,BRASOPOLIS
Latitude,-22.47138888888889
Longitude,-45.621944444444445
Codigo,2245070
Qtd. Anos,68
Ano,Maxima
1941,52
1942,49.8
1943,45.5
1944,68.2
1945,122
1946,111.1
1947,63.4
1948,52
1949,72.6
1950,72.3
1951,60.4
1952,55
1953,62.2
1954,51.4
1955,72.5
1967,46
1968,79.1
1969,66.8
1970,81.2
1971,107.4
1972,68
1973,49.9
1974,42.1
1975,90.1
1976,64.3
1977,77.3
1978,63.5
1979,71.5
1980,84.1
1981,91.1
1982,48.4
1983,88
1984,66.4
1985,123.1
1986,67.2
1987,61.2
1988,50.2
1989,46.4
1990,46
1991,69.1
1992,75
1993,89
1994,80
1995,83
1996,71.3
1997,66.9
1998,72.2
1999,66
2000,146.5
2001,66.8
2002,66.5
2003,45.9
2004,92.4
2005,75
2006,94.9
2007,73.3
2008,97
2009,91.7
2010,50.3
2011,55
2012,53.5
2013,77.3
2014,49.5
2015,63.3
2016,76
2017,65.9
2018,36.7
2019,36.4
