UF,MG
Cidade,BOM SUCESSO
Nome Posto,BOM SUCESSO
Latitude,-21.03388888888889
Longitude,-44.77194444444444
Codigo,2144000
Qtd. Anos,69
Ano,Maxima
1941,57.1
1942,76.2
1943,62.6
1944,56.2
1945,57.8
1946,67.6
1947,72.6
1948,83.4
1949,67
1950,60
1951,67
1952,59
1953,85
1954,66.9
1955,70
1956,71.6
1967,56.4
1968,91.2
1969,98.4
1970,120
1971,120.8
1972,57.4
1973,58.4
1974,62.2
1975,74
1976,65.2
1977,58.6
1978,58.6
1979,83.2
1980,91.4
1981,50
1982,113
1983,112.6
1984,51.6
1985,144
1986,68.6
1987,70.2
1988,50.2
1989,43.6
1990,60.8
1991,61.1
1992,96.3
1993,91.3
1994,39.6
1995,60.3
1996,84.2
1997,110
1998,65.3
1999,106.7
2000,73.9
2001,63.8
2002,98.9
2003,57.5
2004,61.1
2005,94.1
2006,56.4
2007,63.8
2008,63.5
2009,67.8
2010,72.3
2011,134.3
2012,102.7
2013,83.4
2014,57.6
2015,65.7
2016,73.6
2017,105.1
2018,82.4
2019,63.8
