UF,MG
Cidade,PORTEIRINHA
Nome Posto,SERRA BRANCA
Latitude,-15.636666666666667
Longitude,-42.94361111111111
Codigo,1542016
Qtd. Anos,37
Ano,Maxima
1983,50.5
1984,50
1985,46.2
1986,25
1987,100
1988,98
1989,19.7
1990,40
1991,19.8
1992,38.6
1993,56.8
1994,35.8
1995,34.3
1996,90.8
1997,63.2
1998,69.6
1999,45.4
2000,76.8
2001,69.4
2002,92.8
2003,83.2
2004,65.4
2005,95.2
2006,75.2
2007,67.8
2008,96.2
2009,76.2
2010,99.8
2011,53.2
2012,46.4
2013,95.7
2014,35.2
2015,83.7
2016,75.8
2017,56.4
2018,52.4
2019,54.4
