UF,MG
Cidade,PRESIDENTE JUSCELINO
Nome Posto,USINA PARAUNA
Latitude,-18.635555555555555
Longitude,-43.965833333333336
Codigo,1843000
Qtd. Anos,79
Ano,Maxima
1941,59.4
1942,90.6
1943,101.4
1944,72.2
1945,93.6
1946,59.4
1947,81.4
1948,231.2
1949,63.3
1950,114.2
1951,62.2
1952,83.3
1953,89
1954,36
1955,64
1956,107.2
1957,84.8
1958,75.2
1959,74.6
1960,97.3
1961,82.9
1962,67.4
1963,40.4
1964,60.4
1965,77.5
1966,63.2
1967,65.8
1968,74.3
1969,99.1
1970,79
1971,85.5
1972,83.8
1973,65
1974,85.8
1975,81.6
1976,55
1977,94.4
1978,62.6
1979,162.8
1980,79
1981,70.4
1982,85.2
1983,78.4
1984,96.6
1985,62.8
1986,72.2
1987,58.4
1988,65.6
1989,57.2
1990,78.2
1991,80.6
1992,75.4
1993,107.6
1994,60.8
1995,46.4
1996,127.4
1997,70.3
1998,68.9
1999,56
2000,52.3
2001,48.1
2002,58.9
2003,60.6
2004,79
2005,120
2006,67.5
2007,64.3
2008,92.3
2009,83.5
2010,40.6
2011,80.5
2012,107.9
2013,51.3
2014,84.5
2015,45.5
2016,78.8
2017,75.3
2018,81.3
2019,59.5
