UF,MG
Cidade,TIROS
Nome Posto,TIROS
Latitude,-18.999722222222225
Longitude,-45.96611111111111
Codigo,1845014
Qtd. Anos,62
Ano,Maxima
1958,43.6
1959,82.3
1960,84.8
1961,127.8
1962,94.6
1963,69.2
1964,68.3
1965,85.2
1966,89.1
1967,73.8
1968,61.9
1969,75.5
1970,95.5
1971,94.9
1972,56.6
1973,38.5
1974,49.8
1975,62.2
1976,63.5
1977,127.4
1978,89.3
1979,102.9
1980,86.9
1981,72.2
1982,95.1
1983,132.2
1984,66.9
1985,105.9
1986,83.1
1987,62.2
1988,78.1
1989,102
1990,65.2
1991,78.6
1992,110
1993,70
1994,89
1995,55.8
1996,72.1
1997,79
1998,62
1999,95.7
2000,145
2001,84
2002,65
2003,70
2004,52.8
2005,50.8
2006,79
2007,92
2008,82.7
2009,70
2010,60.8
2011,53.6
2012,60.6
2013,76.2
2014,35.5
2015,96.2
2016,42.1
2017,60.1
2018,70.1
2019,63.7
