UF,MG
Cidade,PATROCINIO
Nome Posto,PONTE JOAO CANDIDO
Latitude,-19.146666666666665
Longitude,-47.18472222222222
Codigo,1947006
Qtd. Anos,52
Ano,Maxima
1967,58.6
1968,73.6
1969,90.5
1970,81.8
1971,61
1972,106
1973,41.4
1974,91.6
1975,53.8
1976,50.2
1977,67
1978,88.8
1979,80
1980,96.4
1981,58.4
1982,69.6
1983,79.4
1984,42.2
1985,79.4
1986,62.8
1987,79.4
1988,46
1989,74
1990,96.4
1991,92
1992,82
1993,52.2
1994,48.4
1995,102
1996,54.4
1997,92.6
1998,86.2
1999,58.5
2000,72
2001,100.2
2002,131.8
2003,91.2
2004,128.6
2005,92
2006,78
2007,88
2008,108.1
2009,65.7
2010,71.2
2011,85.6
2012,162.5
2014,64.7
2015,109.9
2016,77.6
2017,66.3
2018,84.2
2019,79.1
