UF,MG
Cidade,BOM DESPACHO
Nome Posto,ESTACAO ALVARO DA SILVEIRA
Latitude,-19.751666666666665
Longitude,-45.11694444444444
Codigo,1945004
Qtd. Anos,77
Ano,Maxima
1941,56.5
1942,69
1943,54.8
1944,57.2
1945,78.3
1946,72.2
1947,98
1948,85
1949,168.2
1950,80.4
1951,105.4
1952,100.6
1953,75.9
1954,75.8
1955,125
1956,78
1957,75.2
1958,74
1959,84
1960,50
1961,71
1962,36.4
1963,55.8
1964,25
1965,1.4
1966,2.5
1967,3.5
1968,15.2
1969,8
1970,28
1971,6.4
1972,62
1973,36.4
1974,72.4
1975,25.2
1976,68.4
1977,84.2
1978,75.2
1979,51.6
1982,60.2
1983,99.8
1984,68.2
1985,98.6
1986,130
1987,61
1988,67
1989,66.6
1990,66.4
1991,68.8
1992,76
1993,56
1994,100
1995,100
1996,60.4
1997,83.6
1998,68
1999,65.4
2000,125
2001,62.8
2002,115
2003,78
2004,89
2005,100
2006,100.4
2007,41.3
2008,190.2
2009,76
2010,46
2011,100.1
2012,63.8
2013,53
2014,54
2015,101.7
2016,125
2017,55
2018,74
2019,68.5
