UF,MG
Cidade,CAETE
Nome Posto,CAETE
Latitude,-19.902777777777775
Longitude,-43.66638888888889
Codigo,1943010
Qtd. Anos,79
Ano,Maxima
1941,71.2
1942,72.8
1943,69.4
1944,77.8
1945,102.2
1946,93.4
1947,75
1948,63.2
1949,117.4
1950,47.2
1951,67.4
1952,102.6
1953,87
1954,112.8
1955,76.6
1956,80.1
1957,77
1958,63.3
1959,95.7
1960,102.3
1961,105.5
1962,95.5
1963,51.6
1964,131
1965,75.9
1966,112.7
1967,49.6
1968,51.4
1969,82.8
1970,39.3
1971,75
1972,96.6
1973,109
1974,63
1975,42.4
1976,66.9
1977,60.6
1978,210.2
1979,92.1
1980,86.3
1981,86.6
1982,123.6
1983,84.6
1984,80.7
1985,69.3
1986,73
1987,83.4
1988,58.4
1989,97.7
1990,67
1991,116.2
1992,100.9
1993,70
1994,93.4
1995,147.1
1996,85.6
1997,118.2
1998,67.5
1999,107.3
2000,133.9
2001,63
2002,85.2
2003,140.3
2004,127.2
2005,77.6
2006,63.1
2007,62
2008,144.5
2009,77.4
2010,58
2011,96
2012,61.7
2013,94.2
2014,100.7
2015,76
2016,99.1
2017,92.8
2018,118
2019,95.5
