UF,MG
Cidade,IPIACU
Nome Posto,IPIACU
Latitude,-18.691944444444445
Longitude,-49.948611111111106
Codigo,1849002
Qtd. Anos,45
Ano,Maxima
1975,61.6
1976,64.3
1977,102
1978,147.2
1979,96
1980,58.2
1981,70.5
1982,127
1983,89.5
1984,45
1985,50
1986,51
1987,104
1988,50
1989,89.5
1990,59
1991,125.5
1992,131
1993,100
1994,84
1995,135
1996,112
1997,77
1998,91
1999,58.4
2000,72.5
2001,61.2
2002,50.8
2003,57.4
2004,117.4
2005,87
2006,88
2007,106
2008,101.2
2009,108.4
2010,83.5
2011,83.5
2012,149.8
2013,111.8
2014,74
2015,74.4
2016,95.5
2017,66.8
2018,82
2019,81.4
