UF,MG
Cidade,PRESIDENTE JUSCELINO
Nome Posto,PRESIDENTE JUSCELINO - JUSANTE
Latitude,-18.64388888888889
Longitude,-44.04805555555556
Codigo,1844009
Qtd. Anos,47
Ano,Maxima
1973,106
1974,75
1975,35
1976,70
1977,67
1978,75.3
1979,90
1980,95.6
1981,140
1982,73.4
1983,67.2
1984,69.2
1985,55.1
1986,68.4
1987,57.4
1988,68.6
1989,57.2
1990,38
1991,69
1992,61
1993,67.8
1994,85
1995,61.6
1996,85.4
1997,83
1998,53
1999,62.8
2000,83.9
2001,63.5
2002,57.7
2003,62
2004,85
2005,129.7
2006,313
2007,74.1
2008,54.7
2009,91.8
2010,55.9
2011,93
2012,83.5
2013,71
2014,53.4
2015,76.5
2016,61.3
2017,60.7
2018,57.1
2019,55.1
