UF,MG
Cidade,MIRADOURO
Nome Posto,JUSSARA
Latitude,-20.911388888888887
Longitude,-42.34805555555556
Codigo,2142009
Qtd. Anos,56
Ano,Maxima
1964,105
1965,75
1966,85
1967,80
1968,130
1969,195
1971,107
1972,85.2
1973,39.1
1974,40.8
1975,96
1976,58
1977,55.8
1978,93.1
1979,48.6
1980,48.2
1981,101
1982,123.2
1983,78.8
1984,62.8
1985,92.8
1986,50.3
1987,87
1988,54.2
1989,82.3
1990,55
1991,78.2
1992,132.3
1993,71.9
1994,71.1
1995,59.3
1996,108.6
1997,89.2
1998,69.2
1999,97.3
2000,69.4
2001,110
2002,80.9
2003,70.5
2004,54.3
2005,77.9
2006,77.9
2007,128.8
2008,81.9
2009,74.4
2010,71.7
2011,74.6
2012,71.4
2013,87.5
2014,54.5
2015,60.3
2016,93.7
2017,82.8
2018,134.5
2019,61.3
2020,60
