UF,MG
Cidade,ANDRELANDIA
Nome Posto,ANDRELANDIA
Latitude,-21.734722222222224
Longitude,-44.31222222222222
Codigo,2144019
Qtd. Anos,59
Ano,Maxima
1948,69.2
1949,59.8
1950,66.2
1951,68
1952,72.4
1966,73.6
1967,89.3
1968,71.3
1969,81.5
1970,67.1
1971,58.8
1972,86
1973,142.6
1974,76.3
1975,95.3
1976,53
1977,115.4
1978,61.8
1979,75
1980,59.2
1981,108
1982,87.2
1983,99
1984,117.4
1985,125.8
1986,88.3
1987,71.8
1988,91.6
1989,59.8
1990,110
1991,84.8
1992,154.2
1993,41.6
1994,73.4
1995,73
1996,64.4
1997,63.7
1998,71.8
1999,112.2
2000,73.1
2001,58.2
2002,56
2003,50
2004,63
2005,59
2006,72
2007,90
2008,33
2009,102.4
2010,62.8
2011,165
2012,94.2
2013,81
2014,78.6
2015,80
2016,105
2017,60.8
2018,52.6
2019,47
