UF,MG
Cidade,COQUEIRAL
Nome Posto,COQUEIRAL
Latitude,-21.192777777777778
Longitude,-45.448611111111106
Codigo,2145032
Qtd. Anos,45
Ano,Maxima
1975,83.5
1976,38
1977,75
1978,76
1979,64.2
1980,85
1981,116.8
1982,75
1983,159.8
1984,71.2
1985,89.4
1986,92
1987,76.4
1988,63.8
1989,75.6
1990,52.3
1991,72.6
1992,142
1993,70.8
1994,108.4
1995,75.6
1996,95
1997,90.8
1998,100.6
1999,112.5
2000,146.5
2001,67.5
2002,76.8
2003,51.5
2004,100.9
2005,56.4
2006,53.9
2007,48
2008,85.5
2009,92.5
2010,48.8
2011,95
2012,63.6
2013,173.4
2014,109.9
2015,54.9
2016,59
2017,66.4
2018,83.3
2019,69
