UF,MG
Cidade,SABARA
Nome Posto,SABARA
Latitude,-19.893055555555556
Longitude,-43.815
Codigo,1943006
Qtd. Anos,79
Ano,Maxima
1941,69
1942,68
1943,68.4
1944,70.8
1945,68.8
1946,60.2
1947,114
1948,80.6
1949,132.4
1950,56.4
1951,110
1952,100
1953,118
1954,66
1955,68
1956,85
1957,61
1958,68
1959,60
1960,64
1961,72
1962,100
1963,47
1964,54
1965,78
1966,62
1967,64
1968,80
1969,120
1970,128
1971,82.6
1972,75
1973,75
1974,69.6
1975,59.8
1976,55.2
1977,70.8
1978,100
1979,72.6
1980,70.4
1981,60.6
1982,70.6
1983,87.4
1984,94.8
1985,84.6
1986,80.4
1987,72.6
1988,49.2
1989,68.2
1990,57.7
1991,50.8
1992,47.8
1993,30.9
1994,50.8
1995,154.7
1996,78.4
1997,108.1
1998,73.6
1999,98.5
2000,115.9
2001,62.5
2002,73.3
2003,158.2
2004,95.3
2005,74.6
2006,78.3
2007,137.7
2008,88.1
2009,64.3
2010,128.5
2011,106.5
2012,67.5
2013,76.8
2014,80.5
2015,48.5
2016,129.6
2017,88
2018,81.5
2019,75.3
