UF,MG
Cidade,MAR DE ESPANHA
Nome Posto,ESTEVAO PINTO
Latitude,-21.89638888888889
Longitude,-43.04138888888889
Codigo,2143013
Qtd. Anos,78
Ano,Maxima
1943,81.4
1944,85.6
1945,63.8
1946,60.4
1947,98.6
1948,94.8
1949,75.6
1950,83.8
1951,72.2
1952,63.7
1953,58.3
1954,69
1955,73.4
1956,60.6
1957,75
1958,50.6
1959,108
1960,50
1961,74
1962,64
1963,62.8
1964,58
1965,70
1966,50
1967,50.4
1968,72
1969,24.8
1970,25.6
1971,14.5
1972,56.3
1973,15.6
1974,50
1975,64
1976,70
1977,79.6
1978,80.4
1979,74
1980,95
1981,65
1982,67
1983,91
1984,96
1985,109.2
1986,59
1987,78
1988,65.8
1989,85
1990,64
1991,125.4
1992,85.9
1993,89.6
1994,98.8
1995,101.4
1996,78.4
1997,80.1
1998,80.7
1999,91.8
2000,85.4
2001,64.2
2002,66.4
2003,102
2004,119.5
2005,95.2
2006,76.1
2007,68.1
2008,75.8
2009,93.6
2010,77
2011,145
2012,88
2013,70.4
2014,58.9
2015,47.6
2016,47
2017,47.1
2018,47
2019,50
2020,40
