UF,MG
Cidade,ITAJUBA
Nome Posto,SAO JOAO DE ITAJUBA
Latitude,-22.375555555555557
Longitude,-45.44694444444444
Codigo,2245083
Qtd. Anos,54
Ano,Maxima
1966,71
1967,46.8
1968,65
1969,78.2
1970,57.4
1971,105.2
1972,49
1973,64
1974,96
1975,78
1976,75.2
1977,72.4
1978,93
1979,92
1980,57
1981,56
1982,70
1983,67
1984,53
1985,72
1986,72
1987,57
1988,78
1989,56
1990,58
1991,100
1992,96
1993,118
1994,73
1995,80
1996,80
1997,55
1998,81.1
1999,52
2000,48.4
2001,84
2002,55.3
2003,49
2004,49.8
2005,68.2
2006,63.3
2007,59.1
2008,87.4
2009,65.3
2010,76.3
2011,141.3
2012,73.9
2013,69.4
2014,38.7
2015,51.6
2016,74.6
2017,74.3
2018,37.2
2019,69
