UF,MG
Cidade,BRASILIA DE MINAS
Nome Posto,BRASILIA DE MINAS - JUSANTE
Latitude,-16.20638888888889
Longitude,-44.42527777777777
Codigo,1644027
Qtd. Anos,45
Ano,Maxima
1975,82.4
1976,41.2
1977,46
1978,96.3
1979,68
1980,60.2
1981,45.2
1982,50.3
1983,70.3
1984,62.9
1985,80.1
1986,46
1987,57.2
1988,51.2
1989,70.2
1990,48.2
1991,45.3
1992,74.1
1993,33.2
1994,91
1995,75.2
1996,53.1
1997,71.4
1998,73.2
1999,68.2
2000,77.3
2001,64.5
2002,102
2003,70.8
2004,65.9
2005,67.9
2006,78.7
2007,45.6
2008,76
2009,89
2010,60.2
2011,60.1
2012,89.7
2013,109.3
2014,84.6
2015,43.2
2016,27
2017,117.1
2018,50.7
2019,22.5
