UF,MG
Cidade,ATALEIA
Nome Posto,ATALEIA
Latitude,-18.046944444444446
Longitude,-41.114444444444445
Codigo,1841008
Qtd. Anos,54
Ano,Maxima
1966,88.3
1967,83.4
1968,59.6
1969,92.6
1970,63.8
1971,61.8
1972,124
1973,113
1974,83.5
1975,123.3
1976,79.6
1977,60
1978,100.6
1979,115.4
1980,49.6
1981,115
1982,66.7
1983,67.2
1984,137
1985,119.6
1986,90
1987,90
1988,110
1989,121.2
1990,87
1991,70.8
1992,82.6
1993,61.6
1994,160
1995,48.5
1996,75
1997,82
1998,26.8
1999,54.2
2000,102
2001,65.5
2002,91.2
2003,76.4
2004,95.3
2005,155.3
2006,72
2007,64
2008,86.5
2009,112
2010,123.2
2011,76.7
2012,55
2013,122
2014,89
2015,66.5
2016,131
2017,72.2
2018,131.5
2019,68.2
