UF,MG
Cidade,IBIA
Nome Posto,FAZENDA SAO MATEUS
Latitude,-19.516666666666666
Longitude,-46.571111111111115
Codigo,1946007
Qtd. Anos,53
Ano,Maxima
1967,87.6
1968,104.8
1969,62.8
1970,60
1971,71.2
1972,88.6
1973,71.6
1974,63.2
1975,80
1976,57.4
1977,85
1978,64
1979,86.2
1980,66.4
1981,71.2
1982,53.2
1983,58.8
1984,95.4
1985,78
1986,122.3
1987,76.9
1988,91.1
1989,75.9
1990,25
1991,68.2
1992,56.5
1993,48.2
1994,66
1995,59
1996,61.7
1997,123.6
1998,84.6
1999,74.7
2000,81.5
2001,97.9
2002,55.3
2003,101.3
2004,53
2005,57.3
2006,61.8
2007,64.4
2008,76.1
2009,141.1
2010,48.4
2011,64.6
2012,64.1
2013,57.2
2014,69.2
2015,72.7
2016,64.1
2017,73.1
2018,86
2019,51.1
