UF,MG
Cidade,BAMBUI
Nome Posto,BAMBUI
Latitude,-20.02111111111111
Longitude,-45.96611111111111
Codigo,2045001
Qtd. Anos,79
Ano,Maxima
1941,86.2
1942,62.6
1943,69.2
1944,56.8
1945,140.4
1946,68.6
1947,82.2
1948,92.4
1949,63.8
1950,78.2
1951,58.4
1952,61.8
1953,55.6
1954,86.2
1955,64.4
1956,65.2
1957,48.8
1958,49.4
1959,138.4
1960,76.4
1961,67.8
1962,103.6
1963,50
1964,99.8
1965,83
1966,79.2
1967,52.8
1968,71.8
1969,112.2
1970,44.4
1971,59.2
1972,59.4
1973,73.2
1974,76.6
1975,135
1976,88
1977,75
1978,52.6
1979,50
1980,54.6
1981,95
1982,92.6
1983,200
1984,146
1985,75
1986,87
1987,90
1988,68
1989,80.9
1990,64
1991,99.8
1992,51.8
1993,68.3
1994,61
1995,77.6
1996,83.2
1997,133.7
1998,71.9
1999,79.2
2000,98.9
2001,82.6
2002,77.6
2003,60.8
2004,94.3
2005,84.5
2006,76.2
2007,69.9
2008,88.9
2009,66.1
2010,104.5
2011,147.5
2012,136.5
2013,85.6
2014,81.5
2015,99.4
2016,75.6
2017,64.1
2018,105.1
2019,72.5
