UF,MG
Cidade,SAO JOAO DA PONTE
Nome Posto,SAO JOAO DA PONTE
Latitude,-15.930277777777777
Longitude,-44.00416666666667
Codigo,1544019
Qtd. Anos,45
Ano,Maxima
1975,39.4
1976,63
1977,52.3
1978,92.3
1979,137.6
1980,52.4
1981,51.2
1982,78.3
1983,85.2
1984,60.3
1985,71.2
1986,59.3
1987,60.3
1988,51.2
1989,120.2
1990,38.3
1991,63.3
1992,113.2
1993,48.1
1994,68.1
1995,60.2
1996,51.2
1997,70.2
1998,94
1999,81
2000,81.2
2001,65.3
2002,47.7
2003,64.5
2004,62
2005,59.5
2006,43.9
2007,118.9
2008,52.7
2009,77.1
2010,68.6
2011,68.9
2012,85.1
2013,106.5
2014,67.6
2015,36.3
2016,53.5
2017,56.9
2018,105.8
2019,54.8
