UF,MG
Cidade,JANUARIA
Nome Posto,CAJUEIRO
Latitude,-14.836111111111112
Longitude,-45.17333333333333
Codigo,1445000
Qtd. Anos,39
Ano,Maxima
1981,96.2
1982,70.2
1983,84.8
1984,63.8
1985,69.8
1986,75.8
1987,54.2
1988,80.4
1989,57.2
1990,75.5
1991,90
1992,78.6
1993,32.5
1994,42
1995,53
1996,58
1997,52
1998,81.8
1999,100
2000,88
2001,65.6
2002,70.5
2003,43.4
2004,67.9
2005,69.8
2006,78.6
2007,63.9
2008,48.7
2009,94.5
2010,93.6
2011,78.8
2012,58.8
2013,82.1
2014,82.8
2015,40.5
2016,66.8
2017,57
2018,101
2019,28.7
