UF,MG
Cidade,MONSENHOR PAULO
Nome Posto,MONSENHOR PAULO
Latitude,-21.760277777777777
Longitude,-45.53777777777778
Codigo,2145017
Qtd. Anos,79
Ano,Maxima
1941,38.4
1942,50.3
1943,87.8
1944,44.8
1945,69.8
1946,85
1947,85.3
1948,56.2
1949,64.4
1950,106.4
1951,57
1952,54.2
1953,65.2
1954,46.2
1955,63
1956,112.3
1957,65.4
1958,58.2
1959,74
1960,72
1961,58
1962,89
1963,60
1964,70
1965,82
1966,95
1967,85
1968,90
1969,90.2
1970,53.2
1971,54.4
1972,39.2
1973,80
1974,40
1975,57.4
1976,72.2
1977,71.2
1978,96
1979,78
1980,47.4
1981,98.2
1982,36.2
1983,56.1
1984,46.4
1985,96
1986,108.8
1987,68
1988,53.2
1989,144
1990,52
1991,87.4
1992,153.4
1993,79.6
1994,91.7
1995,93.6
1996,95.4
1997,57.7
1998,54.2
1999,136.5
2000,115.2
2001,58.1
2002,95
2003,88.6
2004,64.2
2005,81.7
2006,175.8
2007,52.8
2008,60.2
2009,100.7
2010,73.4
2011,82.9
2012,58.2
2013,102.5
2014,47.5
2015,53.5
2016,107.7
2017,33.2
2018,44.7
2019,59.4
