UF,MG
Cidade,POUSO ALEGRE
Nome Posto,PONTE DO RODRIGUES
Latitude,-22.354166666666668
Longitude,-45.85388888888889
Codigo,2245086
Qtd. Anos,53
Ano,Maxima
1967,43.1
1968,78.3
1969,55.6
1970,76
1971,75.5
1972,55
1973,85.2
1974,77.2
1975,72.6
1976,61.5
1977,62
1978,78.9
1979,94.3
1980,81
1981,102.5
1982,73.8
1983,82
1984,51.5
1985,68.6
1986,63.2
1987,77.2
1988,72
1989,87.7
1990,88.6
1991,104.6
1992,65.5
1993,44.3
1994,101.2
1995,106.2
1996,77.2
1997,43.2
1998,50.9
1999,58.2
2000,145.7
2001,47.1
2002,56.8
2003,54.3
2004,52.3
2005,66.1
2006,52.4
2007,55.4
2008,80
2009,76.5
2010,72
2011,62.7
2012,68.5
2013,91.5
2014,73.1
2015,42.6
2016,102.3
2017,55.6
2018,46.7
2019,62.5
