UF,MG
Cidade,TEOFILO OTONI
Nome Posto,TEOFILO OTONI
Latitude,-17.85
Longitude,-41.516666666666666
Codigo,1741012
Qtd. Anos,74
Ano,Maxima
1911,65.2
1912,80.2
1913,48.2
1914,64
1915,78.8
1916,90.7
1917,102.4
1918,66.3
1919,102.5
1920,93
1921,93
1922,122.8
1923,73.4
1924,85.3
1925,57.7
1926,72.4
1927,79.9
1928,94.1
1929,83.2
1930,65
1931,63.6
1932,108.7
1933,98.2
1934,77.8
1935,72.6
1936,63
1937,92.6
1938,54.8
1939,63.4
1940,44
1941,63
1942,106.2
1943,55.6
1944,104
1945,99.6
1946,46.4
1947,58.1
1948,23.9
1949,71
1950,33.3
1951,33.8
1952,74
1953,62
1954,58
1956,50.2
1957,65.2
1958,68.3
1959,66.7
1960,82
1961,63.9
1962,70.2
1963,75.8
1964,108.1
1965,86.4
1966,68.9
1967,46.2
1968,54.4
1970,82.9
1975,150.3
1976,69
1977,45
1978,54.1
1979,83
1980,58.6
1981,40
1982,51
1991,66
1992,89.4
1993,72.6
1994,68.6
1995,60.9
1996,78
1997,68.7
1998,57.4
