UF,MG
Cidade,CARANGOLA
Nome Posto,CARANGOLA
Latitude,-20.740000000000002
Longitude,-42.02388888888889
Codigo,2042000
Qtd. Anos,86
Ano,Maxima
1935,59.8
1936,50.2
1937,63.8
1938,78.3
1939,101.3
1940,72.4
1941,73.4
1942,82
1943,69.4
1944,110.8
1945,64
1946,56
1947,65
1948,205
1949,63
1950,89.2
1951,55.1
1952,65.1
1953,137
1954,53.4
1955,85
1956,98.2
1957,59
1958,66
1959,58
1960,63
1961,88
1962,85
1963,78
1964,84
1965,84
1966,66
1967,67
1968,80.2
1969,47.2
1970,40.4
1971,54.2
1972,68
1973,88
1974,53.2
1975,98.2
1976,52.4
1977,84.2
1978,55.2
1979,83.4
1980,72.6
1981,80.2
1982,81.6
1983,56.4
1984,72.4
1985,68.4
1986,56.8
1987,78.6
1988,72.6
1989,86
1990,68.8
1991,86.2
1992,54.6
1993,58.2
1994,48.2
1995,56.6
1996,90.6
1997,110
1998,120
1999,97.2
2000,68.2
2001,68.6
2002,56.3
2003,84.3
2004,62.8
2005,82.6
2006,86.2
2007,86.4
2008,98.6
2009,126.4
2010,69.5
2011,98.8
2012,93.2
2013,92.6
2014,137.8
2015,66.5
2016,101.4
2017,82
2018,68.2
2019,82
2020,74.2
