UF,MG
Cidade,SAO ROMAO
Nome Posto,SAO ROMAO
Latitude,-16.371666666666666
Longitude,-45.08277777777778
Codigo,1645000
Qtd. Anos,68
Ano,Maxima
1952,83
1953,90
1954,105
1955,90
1956,74
1957,85
1958,68
1959,92
1960,58
1961,53
1962,77
1963,67
1964,70
1965,85
1966,100
1967,109
1968,70
1969,47
1970,77
1971,71
1972,81
1973,50.2
1974,58.4
1975,61
1976,92.2
1977,85.4
1978,62.2
1979,93.5
1980,107.2
1981,83.6
1982,85
1983,112.8
1984,77.7
1985,115.4
1986,63
1987,140.6
1988,52.8
1989,80.2
1990,63.8
1991,103.6
1992,550
1993,77.1
1994,87
1995,68.6
1996,51.5
1997,137.1
1998,67.7
1999,89.8
2000,57.5
2001,118.1
2002,70
2003,55.1
2004,94.1
2005,128.8
2006,69.5
2007,136.8
2008,88.9
2009,120
2010,87.3
2011,90.4
2012,62.3
2013,105.8
2014,176.5
2015,82.1
2016,97.1
2017,87.5
2018,70.9
2019,69.8
