UF,MG
Cidade,TRES MARIAS
Nome Posto,BARRA DO RIO DE JANEIRO
Latitude,-17.958055555555553
Longitude,-45.102222222222224
Codigo,1845027
Qtd. Anos,36
Ano,Maxima
1984,78.3
1985,75
1986,70
1987,80.4
1988,72.4
1989,40
1990,40
1991,70
1992,72
1993,55.7
1994,90
1995,163
1996,76.4
1997,132.5
1998,58.4
1999,107.8
2000,89.4
2001,60
2002,92.4
2003,62.6
2004,69.3
2005,73.1
2006,66.5
2007,56.7
2008,63.3
2009,98.1
2010,78.9
2011,98.5
2012,96
2013,100.4
2014,41.9
2015,62.6
2016,87.7
2017,66.2
2018,101
2019,93.3
