UF,MG
Cidade,VIRGINIA
Nome Posto,VIRGINIA
Latitude,-22.338055555555556
Longitude,-45.09055555555556
Codigo,2245080
Qtd. Anos,79
Ano,Maxima
1941,31.8
1942,79.4
1943,97.2
1944,95
1945,96.6
1946,96.8
1947,96.2
1948,76.8
1949,74.6
1950,78.4
1951,45.6
1952,32.6
1953,115.4
1954,120.4
1955,104.2
1956,74.6
1957,84.2
1958,32
1959,58.4
1960,70.2
1961,38.6
1962,82.2
1963,72.4
1964,96.8
1965,108.4
1966,175.6
1967,92.2
1968,89.6
1969,73.4
1970,112.4
1971,62.4
1972,73.6
1973,73.8
1974,68.4
1975,89.8
1976,68.6
1977,68.8
1978,78.8
1979,138.6
1980,125.4
1981,122.8
1982,116.4
1983,80
1984,110
1985,165
1986,130
1987,99
1988,85.2
1989,90
1990,75.6
1991,135.4
1992,100
1993,72.4
1994,91
1995,76.5
1996,82.3
1997,46.2
1998,61
1999,67.8
2000,157.5
2001,97.8
2002,80.7
2003,113.6
2004,77.2
2005,100.8
2006,100.2
2007,90.1
2008,124.3
2009,62.7
2010,50.3
2011,90.8
2012,47.3
2013,70.8
2014,66.4
2015,71.6
2016,80.2
2017,98.3
2018,51.3
2019,53.4
