UF,MG
Cidade,SAO JOAO DO PARAISO
Nome Posto,SAO JOAO DO PARAISO
Latitude,-15.316666666666666
Longitude,-42.022777777777776
Codigo,1542014
Qtd. Anos,44
Ano,Maxima
1976,46.9
1977,54.2
1978,57.3
1979,97
1980,67
1981,34
1982,132
1983,66
1984,50
1985,96
1986,90
1987,111.5
1988,61
1989,72
1990,54
1991,58
1992,43.6
1993,49
1994,70.2
1995,86.2
1996,84.3
1997,80.5
1998,55.6
1999,60
2000,89.6
2001,31
2002,57
2003,36.7
2004,121.2
2005,89.8
2006,66.6
2007,105.2
2008,72.8
2009,50.8
2010,57
2011,122.3
2012,42
2013,150.6
2014,88.8
2015,40
2016,68
2017,120
2018,111.4
2019,47.5
