UF,MG
Cidade,BARBACENA
Nome Posto,USINA BARBACENA
Latitude,-21.27472222222222
Longitude,-43.87861111111111
Codigo,2143009
Qtd. Anos,79
Ano,Maxima
1941,59.1
1942,80.6
1943,55.2
1944,68.7
1945,77.2
1946,76.4
1947,91.4
1948,63
1949,95.7
1950,84.5
1951,104.6
1952,66.5
1953,49.1
1954,65.2
1955,80.2
1956,65.1
1957,63.1
1958,55.2
1959,51.3
1960,66.7
1961,121
1962,87.8
1963,63
1964,85.4
1965,80
1966,66
1967,88.6
1968,71.5
1969,89.7
1970,63.2
1971,81.9
1972,96.4
1973,53.8
1974,63.8
1975,97.8
1976,63.7
1977,89
1978,70.4
1979,84
1980,86
1981,75.4
1982,60
1983,68.6
1984,56.6
1985,72.6
1986,69.2
1987,63.3
1988,88.6
1989,46
1990,67.6
1991,73
1992,103.6
1993,80
1994,74
1995,69.8
1996,78
1997,114.8
1998,92.2
1999,76
2000,67.4
2001,64.8
2002,63.2
2003,41.4
2004,85.8
2005,82.6
2006,72
2007,70
2008,68.6
2009,67.8
2010,146.9
2011,202
2012,137
2013,55.8
2014,84.3
2015,67.5
2016,78.6
2017,59.2
2018,86.2
2019,77
