UF,MG
Cidade,ABRE CAMPO
Nome Posto,ABRE CAMPO
Latitude,-20.29888888888889
Longitude,-42.47805555555556
Codigo,2042010
Qtd. Anos,78
Ano,Maxima
1942,107
1943,68
1944,66.5
1945,40
1946,72.2
1947,62
1948,80.2
1949,75.6
1950,72.6
1951,90
1952,85
1953,75.6
1954,25
1955,25
1956,20.8
1957,60.8
1958,48.6
1959,50.2
1960,52.8
1961,50.6
1962,68.8
1963,38.9
1964,80
1965,64.8
1966,108
1967,96
1968,71.2
1969,90.4
1970,103.2
1971,79.6
1972,84
1973,57
1974,45
1975,64
1976,43.2
1977,76.9
1978,74.2
1979,80.2
1980,82.3
1981,93.2
1982,43.2
1983,67.4
1984,73
1985,107
1986,96
1987,77
1988,54
1989,95
1990,169.4
1991,67.8
1992,87.2
1993,81.4
1994,78.2
1995,58.4
1996,72.8
1997,104.6
1998,45.4
1999,80.6
2000,78.2
2001,69.2
2002,81.7
2003,57
2004,63
2005,113.6
2006,61.2
2007,56.4
2008,86.3
2009,81.9
2010,98.2
2011,55.9
2012,87.2
2013,65.7
2014,49.5
2015,82
2016,55.1
2017,90
2018,80.6
2019,57.5
