UF,MG
Cidade,PRATAPOLIS
Nome Posto,USINA SANTANA
Latitude,-20.811111111111114
Longitude,-46.808055555555555
Codigo,2046011
Qtd. Anos,54
Ano,Maxima
1966,71.4
1967,97.2
1968,64
1969,77.6
1970,68.3
1971,75
1972,80.6
1973,61
1974,72.6
1975,85.6
1976,70
1977,58
1978,87.4
1979,86
1980,120
1981,93.5
1982,67.9
1983,83.4
1984,64.2
1985,60.8
1986,64.8
1987,71
1988,48.7
1989,86
1990,73.4
1991,85.4
1992,86.4
1993,81.3
1994,75.2
1995,110.7
1996,75.2
1997,70.8
1998,68.5
1999,87.5
2000,129.5
2001,47.8
2002,126.7
2003,52.3
2004,98.2
2005,68.7
2006,73.8
2007,51.2
2008,91.5
2009,57.1
2010,84.3
2011,41.2
2012,56.8
2013,50.3
2014,40.7
2015,45.3
2016,80.3
2017,63.5
2018,61
2019,81.5
